plantSp,animalSp,meanPIE,maxPIE,n_methods
Pyrus bourgaeana,Turdus philomelos,0.0016379461020547795,9.365335851391001e-4,1
Smilax aspera,Erithacus rubecula,9.665951748274825e-4,9.365335851391001e-4,3
Rhamnus lycioides,Cyanopica cooki,0.0011873344914739249,9.123564445400857e-4,3
Ruscus aculeatus,Turdus merula,8.298436662019667e-4,9.042420129196872e-4,2
Juniperus phoenicea,Vulpes vulpes,0.0014968831164887744,8.721030313492161e-4,2
Smilax aspera,Sylvia borin,9.660317768778999e-4,8.587225268886677e-4,2
Vitis vinifera,Sylvia atricapilla,0.0014470431547172822,8.273804075960043e-4,1
Asparagus spp,Curruca undata,0.0014120235242721779,8.073571235515191e-4,1
Pistacia lentiscus,Curruca hortensis,0.0010338352374839764,7.984424387500031e-4,3
Osyris lanceolata,Curruca undata,7.859460701723876e-4,7.750621604287963e-4,2
Juniperus phoenicea,Turdus pilaris,0.0013553338295347085,7.749434788129527e-4,1
Phillyrea angustifolia,Sturnus vulgaris,0.0013531810563168298,7.73712580911488e-4,1
Vitis vinifera,Sylvia borin,0.0013297140490905336,7.602947765145316e-4,1
Juniperus phoenicea,Sylvia atricapilla,0.0013242817067556114,7.571887090827368e-4,1
Chamaerops humilis,Oryctolagus cuniculus,0.001299065200633243,7.427705882093833e-4,1
Juniperus phoenicea,Cervus elaphus,7.277500272328766e-4,7.427705882093833e-4,2
Corema album,Curruca melanocephala,8.044788974612872e-4,7.41064963844544e-4,2
Smilax aspera,Cyanopica cooki,9.277088552968217e-4,7.379351600895805e-4,2
Frangula alnus,Sylvia atricapilla,0.0012699167698732616,7.261042984416196e-4,1
Myrtus communis,Curruca melanocephala,8.563530223560089e-4,7.164910875582808e-4,3
Rubus ulmifolius,Genetta genetta,0.0012425830735614094,7.104756250866606e-4,1
Pistacia lentiscus,Mus spretus,0.0012319437480713977,7.043923445488441e-4,1
Phillyrea angustifolia,Curruca hortensis,8.389291994520769e-4,6.85606740212443e-4,2
Osyris lanceolata,Erithacus rubecula,7.357799306406109e-4,6.799269771684951e-4,2
Crataegus monogyna,Cyanopica cooki,0.0011718202910938412,6.700153667938921e-4,1
Rubus ulmifolius,Cyanopica cooki,5.24369297938309e-4,6.700153667938921e-4,4
Dioscorea communis,Turdus merula,0.0011171469679654043,6.387546291806644e-4,1
Lonicera periclymenum,Turdus merula,5.200163074646923e-4,6.286768645438803e-4,3
Chamaerops humilis,Apodemus/Mus,0.0010731366923459086,6.135907357184925e-4,1
Rubia peregrina,Erithacus rubecula,0.0010559500896312746,6.037638979266351e-4,1
Vitis vinifera,Turdus merula,0.0010559500896312746,6.037638979266351e-4,1
Pistacia lentiscus,Saxicola rubicola,4.6627407357924955e-4,5.845340852566476e-4,4
Rubus ulmifolius,Ficedula hypoleuca,0.0010166604957788075,5.812991634990796e-4,1
Rubus ulmifolius,Parus major,5.191978978116144e-4,5.490042003763569e-4,2
Smilax aspera,Curruca melanocephala,4.6822520963622495e-4,5.490042003763569e-4,3
Pistacia lentiscus,Alectoris rufa,5.567617147869393e-4,5.02511525095419e-4,2
Frangula alnus,Luscinia megarhynchos,8.604035570882707e-4,4.919556430919504e-4,1
Rubus ulmifolius,Meles meles,8.472141145633066e-4,4.8441427413091145e-4,1
Ficus carica,Cyanopica cooki,8.4397605897939e-4,4.8256284092374987e-4,1
Pyrus bourgaeana,Rattus rattus,7.90731987491473e-4,4.5211931100818867e-4,1
Pistacia lentiscus,Luscinia megarhynchos,5.521299905908974e-4,4.516886662878416e-4,2
Rhamnus lycioides,Turdus merula,6.466088614835246e-4,4.476128005094383e-4,3
Smilax aspera,Turdus philomelos,7.430744514615218e-4,4.2487001201047767e-4,1
Rubus ulmifolius,Phoenicurus phoenicurus,3.917454206065771e-4,4.198277387887758e-4,3
Crataegus monogyna,Turdus merula,3.5429428322116875e-4,4.187596042461826e-4,3
Olea europaea,Sturnus unicolor,4.0530255442495296e-4,4.187596042461826e-4,2
Osyris alba,Turdus merula,3.857496803220723e-4,4.187596042461826e-4,2
Pistacia lentiscus,Phoenicurus ochruros,6.055816297444503e-4,4.187596042461826e-4,2
Lonicera periclymenum,Chloris chloris,7.113996256855176e-4,4.0675919743273067e-4,1
Frangula alnus,Sturnus vulgaris,6.961463675136618e-4,3.9803779411987447e-4,1
Corema album,Turdus merula,5.039565006492234e-4,3.875327756660531e-4,3
Juniperus phoenicea,Turdus torquatus,2.83828025990223e-4,3.8747173940647633e-4,3
Osyris lanceolata,Turdus iliacus,6.776669147673543e-4,3.8747173940647633e-4,1
Vitis vinifera,Sturnus vulgaris,6.648570245452668e-4,3.801473882572658e-4,1
Rhamnus lycioides,Curruca communis,4.760594063877886e-4,3.7689212107983885e-4,2
Asparagus spp,Sylvia borin,6.480440436287771e-4,3.70534177373927e-4,1
Myrtus communis,Sylvia borin,3.435778611696354e-4,3.70534177373927e-4,2
Phillyrea angustifolia,Cyanopica cooki,3.56482639467442e-4,3.70534177373927e-4,2
Phillyrea angustifolia,Phoenicurus phoenicurus,6.1100804157464e-4,3.70534177373927e-4,2
Rhamnus lycioides,Aegithalos caudatus,6.480440436287771e-4,3.70534177373927e-4,1
Solanum nigrum,Curruca melanocephala,6.480440436287771e-4,3.70534177373927e-4,1
Myrtus communis,Chloris chloris,4.670865527275949e-4,3.552378125433303e-4,2
Myrtus communis,Rattus rattus,3.174895708515972e-4,3.552378125433303e-4,2
Olea europaea,Curruca melanocephala,3.871670709531273e-4,3.552378125433303e-4,4
Osyris lanceolata,Curruca melanocephala,4.5601430039211475e-4,3.552378125433303e-4,2
Phillyrea angustifolia,Curruca iberiae,5.919414688598201e-4,3.4039243785293974e-4,2
Pyrus bourgaeana,Turdus merula,3.4943719984529393e-4,3.3500768339694603e-4,2
